https://es.wikipedia.org/wiki/Portal:Comunidad	Portal:Comunidad - Wikipedia, la enciclopedia libre	Portal de la comunidad Donde descubrir lo que sucede en Wikipedia, cómo colaborar y algunos recursos de interés.
https://es.wikipedia.org/wiki/Ciencia	Ciencia - Wikipedia, la enciclopedia libre	La ciencia es una disciplina sistemática que construye y organiza conocimiento en forma de hipótesis y predicciones comprobables sobre el universo.[1][2][3] La ciencia moderna se divide típicamente en dos o tres ramas principales:[4] las ciencias naturales (por ejemplo, física...
https://es.wikipedia.org/wiki/Tecnolog%C3%ADa	Tecnología - Wikipedia, la enciclopedia libre	La tecnología (del griego τέχνη téchnē, ‘arte’, ‘oficio’ y -λογία -loguía, ‘tratado’, ‘estudio’[2]) es la suma de técnicas, habilidades, métodos y procesos utilizados en la producción de bienes o servicios o en el logro de objetivos, como la investigación científica. La tecnol...
https://es.wikipedia.org/wiki/Inteligencia_artificial	Inteligencia artificial - Wikipedia, la enciclopedia libre	La inteligencia artificial, abreviada como IA o AI (por su nombre en inglés: artificial intelligence), en el contexto de las ciencias de la computación, es una disciplina y un conjunto de capacidades cognoscitivas e intelectuales expresadas por sistemas informáticos o combinac...
https://es.wikipedia.org/wiki/Exploraci%C3%B3n_espacial	Exploración espacial - Wikipedia, la enciclopedia libre	La exploración espacial designa los esfuerzos del ser humano en estudiar el espacio y sus astros desde el punto de vista científico y de su explotación económica. Estos esfuerzos pueden involucrar tanto seres humanos viajando en naves espaciales como satélites con recursos de ...
https://news.ycombinator.com	Hacker News	Información indexada por el motor Nuby.
https://techcrunch.com	TechCrunch | Startup and Technology News	TechCrunch | Reporting on the business of technology, startups, venture capital funding, and Silicon Valley
https://www.bbc.com/mundo	Noticias - BBC News Mundo	BBC Mundo le presenta una selección de contenidos y acontecimientos más importantes de la actualidad. Las últimas noticias e información en materia internacional, sobre América Latina, tecnología, ciencia, salud, economía. Fotos y videos.
https://es.wikipedia.org/wiki/Wikipedia:Portada	Wikipedia, la enciclopedia libre	la enciclopedia de contenido libreque todos pueden editar.
https://es.wikipedia.org/wiki/Portal:Actualidad	Portal:Actualidad - Wikipedia, la enciclopedia libre	Véase también: Categoría:Actualidad — 2026 — Categoría:2026 ¿Quieres colaborar? Puedes avisarnos de un artículo de actualidad que falte.
https://es.wikipedia.org/wiki/Especial:CambiosRecientes	Cambios recientes - Wikipedia, la enciclopedia libre	Cambios recientes - Wikipedia, la enciclopedia libre
